	CRISPR-SMPL-1	CRISPR-CNTRL-1	CRISPR-SMPL-2	CRISPR-CNTRL-2	CRISPR-SMPL-3	CRISPR-CNTRL-3
gRNA-No-00470	0	0	0	0	0	0
gRNA-No-00471	4	16	0	7	2	8
gRNA-No-00472	0	1	0	0	0	1
gRNA-No-00473	57	77	39	263	130	70
gRNA-No-00474	344	529	129	601	511	464
gRNA-No-00475	492	566	219	882	438	321
gRNA-No-17129	0	0	0	0	5	4
gRNA-No-25759	0	0	0	0	0	0
gRNA-No-25760	249	343	70	489	69	74
gRNA-No-00479	0	0	0	0	0	0
gRNA-No-00480	32	76	40	365	60	100
gRNA-No-25763	0	0	0	0	0	0
gRNA-No-00483	131	217	53	286	117	71
gRNA-No-00484	40	32	12	36	55	83
gRNA-No-02763	81	69	60	234	62	61
gRNA-No-02766	328	406	155	656	436	273
gRNA-No-00488	72	74	8	80	50	55
gRNA-No-00489	78	67	14	93	19	44
gRNA-No-00490	31	35	5	57	47	30
gRNA-No-00491	25	33	63	388	79	55
gRNA-No-02778	69	159	32	319	68	129
gRNA-No-00493	140	238	64	272	271	267
gRNA-No-00494	48	63	27	137	32	22
gRNA-No-00495	77	67	23	130	30	26
gRNA-No-00497	161	188	60	349	96	134
gRNA-No-00498	1	0	1	8	0	1
gRNA-No-00499	27	23	0	1	0	0
gRNA-No-02816	93	83	68	252	181	147
gRNA-No-32804	81	125	44	321	51	64
gRNA-No-02825	472	887	212	1583	308	443
gRNA-No-00503	92	59	22	71	14	13
gRNA-No-00504	0	1	0	0	0	0
gRNA-No-00505	9	18	0	15	2	26
gRNA-No-00506	6	15	0	0	2	1
gRNA-No-00507	42	67	16	91	86	110
gRNA-No-00508	100	178	61	400	101	110
gRNA-No-00509	29	63	53	183	108	114
gRNA-No-00512	0	0	0	0	0	0
gRNA-No-00513	0	0	0	0	0	0
gRNA-No-00514	0	0	0	15	0	0
gRNA-No-00515	0	0	0	0	0	0
gRNA-No-00516	217	237	61	337	131	111
gRNA-No-00517	3	10	3	29	0	0
gRNA-No-00518	12	24	20	78	16	11
gRNA-No-00519	1	10	0	0	101	96
gRNA-No-45894	104	143	40	292	106	126
gRNA-No-00520	0	0	0	0	0	0
gRNA-No-10840	244	394	128	856	324	370
gRNA-No-00521	104	198	78	370	170	187
gRNA-No-00522	32	43	25	117	19	26
gRNA-No-00523	11	55	14	130	15	93
gRNA-No-00524	0	26	0	9	1	50
gRNA-No-00525	13	115	1	135	2	19
gRNA-No-00526	286	604	90	741	310	417
gRNA-No-00528	36	18	11	28	76	40
